Bedroom,Bathroom,Furnishing,Area,Building Age,Parking,Distance to Metro,Projected 10Y Rent,Price,Address
3,2,Furnished,1800,23,2,0.718852291,9783466,27000000,Alaknanda
2,2,Unfurnished,700,11,1,0.648346543,8484948,16500000,Alaknanda
2,2,Semi-Furnished,980,14,2,0.585686875,6300819,13800000,Alaknanda
3,3,Semi-Furnished,1350,29,2,0.611685585,8850067,21000000,Alaknanda
3,3,Semi-Furnished,1800,12,2,0.447766099,6856760,22500000,Alaknanda
2,2,Semi-Furnished,968,5,2,0.433124543,4571078,15000000,Alaknanda
3,3,Semi-Furnished,1250,27,2,0.295026741,5578553,20000000,Alaknanda
3,3,Furnished,1800,18,2,0.422297948,9839074,20000000,Alaknanda
3,2,Semi-Furnished,1400,13,2,0.81276119,10974063,26000000,Alaknanda
3,3,Semi-Furnished,1000,4,2,0.432263612,8780364,19500000,Alaknanda
4,2,Semi-Furnished,1800,12,1,0.439292671,5784409,21500000,Alaknanda
3,3,Unfurnished,1500,7,1,0.626503112,13761438,26500000,Alaknanda
3,3,Semi-Furnished,1600,7,2,0.728627485,9661220,20000000,Alaknanda
3,3,Furnished,1400,14,1,0.358319955,5752653,18000000,Alaknanda
3,2,Unfurnished,1400,17,1,0.140129533,5919409,19000000,Alaknanda
2,2,Unfurnished,1100,25,2,0.402483155,4679463,15000000,Alaknanda
2,2,Semi-Furnished,1200,26,2,0.492237759,6016832,17500000,Alaknanda
2,2,Semi-Furnished,1400,23,2,0.293579992,5627300,14000000,Alaknanda
3,3,Semi-Furnished,1500,21,2,0.509885872,7927152,21000000,Alaknanda
3,2,Unfurnished,1320,27,2,0.355653921,5310061,15600000,Alaknanda
3,3,Unfurnished,1300,11,2,0.495167324,8073290,19000000,Alaknanda
2,2,Unfurnished,1150,16,1,0.335659829,4956413,16500000,Alaknanda
3,3,Unfurnished,1440,10,1,0.542198337,6471967,19000000,Alaknanda
2,2,Unfurnished,1400,12,1,0.707568381,5943212,16500000,Alaknanda
1,1,Semi-Furnished,500,26,1,0.478010348,1151529,3000000,Alaknanda
2,2,Semi-Furnished,1300,9,1,0.411593184,7059011,15000000,Alaknanda
2,2,Unfurnished,1200,6,1,0.614345558,4522419,14300000,Alaknanda
3,2,Unfurnished,1300,25,1,0.614345558,7384761,18500000,Alaknanda
3,3,Furnished,1400,29,1,0.614345558,7975930,19000000,Alaknanda
3,3,Semi-Furnished,1400,26,1,0.542198337,5241358,19000000,Alaknanda
2,2,Unfurnished,700,1,1,0.575630685,6992277,16500000,Alaknanda
2,2,Semi-Furnished,980,13,2,0.163818867,4258249,13800000,Alaknanda
3,3,Semi-Furnished,1350,24,2,0.718852291,5896055,21000000,Alaknanda
3,3,Semi-Furnished,1800,27,2,0.648346543,11559537,22500000,Alaknanda
2,2,Semi-Furnished,968,15,2,0.717983252,7772577,15000000,Alaknanda
3,3,Semi-Furnished,1250,23,2,0.585686875,9534445,20000000,Alaknanda
3,3,Furnished,1800,10,2,0.611685585,6878338,20000000,Alaknanda
3,2,Semi-Furnished,1400,10,2,0.447766099,7523459,26000000,Alaknanda
3,3,Semi-Furnished,1000,16,2,0.433124543,8657816,19500000,Alaknanda
4,2,Semi-Furnished,1800,18,1,0.295026741,8162412,21500000,Alaknanda
3,3,Unfurnished,1500,4,1,0.422297948,7838358,26500000,Alaknanda
3,3,Semi-Furnished,1600,13,2,0.81276119,7883048,20000000,Alaknanda
3,3,Furnished,1400,10,1,0.432263612,4908262,18000000,Alaknanda
3,2,Unfurnished,1400,8,1,0.439292671,9563217,19000000,Alaknanda
4,4,Unfurnished,2700,6,2,0.626503112,12111956,36500000,Alaknanda
2,2,Unfurnished,1100,2,2,0.728627485,6574009,15000000,Alaknanda
2,2,Semi-Furnished,1200,10,2,0.358319955,6051288,17500000,Alaknanda
2,2,Semi-Furnished,1400,20,2,0.140129533,5609997,14000000,Alaknanda
3,3,Semi-Furnished,1500,17,2,0.402483155,8562485,21000000,Alaknanda
3,2,Unfurnished,1320,8,2,0.492237759,4872604,15600000,Alaknanda
3,3,Unfurnished,1300,19,2,0.293579992,9865062,19000000,Alaknanda
2,2,Unfurnished,1150,14,1,0.509885872,7721228,16500000,Alaknanda
3,3,Unfurnished,1440,17,1,0.355653921,9714372,19000000,Alaknanda
2,2,Unfurnished,1400,10,1,0.495167324,8241859,16500000,Alaknanda
1,1,Semi-Furnished,500,15,1,0.335659829,1263695,3000000,Alaknanda
2,2,Semi-Furnished,1300,24,1,0.542198337,7599549,15000000,Alaknanda
2,2,Unfurnished,1200,25,1,0.707568381,4103298,14300000,Alaknanda
3,2,Unfurnished,1300,16,1,0.478010348,5832681,18500000,Alaknanda
3,3,Furnished,1400,16,1,0.411593184,5235232,19000000,Alaknanda
3,3,Semi-Furnished,1400,18,1,0.614345558,6638184,19000000,Alaknanda
3,2,Semi-Furnished,1500,24,1,0.614345558,7687625,21000000,Alaknanda
3,3,Unfurnished,1800,9,1,0.614345558,10724730,32000000,Alaknanda
2,2,Semi-Furnished,500,7,1,0.542198337,8677517,18000000,Alaknanda
2,2,Semi-Furnished,1450,3,1,0.575630685,5901418,16500000,Alaknanda
3,2,Unfurnished,1500,7,1,0.163818867,8137960,24100000,Alaknanda
3,3,Unfurnished,1349,16,2,0.387971626,10166980,25000000,Anand Vihar
4,3,Semi-Furnished,2250,21,1,0.563738815,9774887,32500000,Anand Vihar
3,2,Semi-Furnished,1150,21,1,0.710677306,24704564,52000000,Anand Vihar
3,2,Semi-Furnished,500,2,1,0.516369192,12747088,45000000,Anand Vihar
3,3,Semi-Furnished,1620,15,1,0.604189787,14403812,27500000,Anand Vihar
3,3,Semi-Furnished,1600,25,1,0.635531049,10745413,23000000,Anand Vihar
3,3,Semi-Furnished,1400,29,1,0.46319124,7900012,25000000,Anand Vihar
3,3,Semi-Furnished,2200,29,1,0.470780061,3976074,15000000,Anand Vihar
2,1,Furnished,900,3,1,0.074325684,5264429,11000000,Begum Pur
3,2,Semi-Furnished,810,1,1,0.074325684,2024796,4500000,Begum Pur
